"DISTRICTE","CODI_ILLA","SECC_CENS","BARRI","NOM_DISTRICTE","NOM_BARRI","AEB","HABITANTS","NUM_PARC","NUM_LOCALS","NUM_VIVENDES","NUM_PARKINGS","NUM_ALTRES","SUP_CONS","SUP_SOBRE_RASANT","SUP_SOTA_RASANT","SUP_LOCALS","SUP_SERVEIS","SUP_SOL","DATA_DADES"
"07","84452","091","39","Horta-Guinardó","Sant Genís dels Agudells","150","253","4","108","88","1","19","11608","11552","56","","","28260","03/03/2023 00:02:11"
"07","84467","009","28","Horta-Guinardó","Vallcarca i els Penitents","136","382","49","398","157","98","60","37027","34028","2999","","","44710","03/03/2023 00:02:11"
"07","84581","090","39","Horta-Guinardó","Sant Genís dels Agudells","150","80","24","45","19","2","14","7235","7235","0","","","40614","03/03/2023 00:02:11"
"07","84582","090","39","Horta-Guinardó","Sant Genís dels Agudells","150","45","30","41","17","6","0","2895","2895","0","","","18243","03/03/2023 00:02:11"
"07","93933","122","43","Horta-Guinardó","Horta","156","373","36","376","183","113","52","24340","20513","3827","","","7905","03/03/2023 00:02:11"
"07","93941","122","43","Horta-Guinardó","Horta","156","143","15","98","56","2","37","11607","10143","1464","","","8062","03/03/2023 00:02:11"
"07","93950","123","43","Horta-Guinardó","Horta","156","543","36","559","244","220","50","32132","27251","4881","","","8796","03/03/2023 00:02:11"
"07","93971","123","43","Horta-Guinardó","Horta","156","329","28","308","122","60","57","17778","16253","1525","","","6534","03/03/2023 00:02:11"
"07","93972","123","43","Horta-Guinardó","Horta","156","0","1","0","0","0","0","0","0","0","","","609","03/03/2023 00:02:11"
"07","93990","123","43","Horta-Guinardó","Horta","156","293","29","275","122","61","40","18015","16560","1455","","","4924","03/03/2023 00:02:11"
